lemma,n_forms,examples
expand,1,expand
expeditiously,1,expeditiously
experience,1,experienced
expert,1,expert
explain,3,"explain, explained, explaining"
express,3,"express, expressed, expressing"
extend,1,extend
extensively,1,extensively
extraordinarily,1,extraordinarily
extraordinary,1,extraordinary
extremely,1,extremely
facilitate,3,"facilitate, facilitated, facilitating"
fair,1,fair
fairly,1,fairly
fairness,1,fairness
faithful,1,faithful
fast,1,fast
feedback,1,feedback
feeling,1,feelings
fine,1,finest
flawless,1,flawless
flexible,1,flexible
foremost,1,foremost
forever,1,forever
forthright,1,forthright
forthwith,1,forthwith
foster,1,foster
full,1,full
fully,1,fully
fundamentally,1,fundamentally
genuine,1,genuine
goal,1,goals
good,2,"best, good"
great,1,greatest
greet,3,"greet, greeted, greeting"
grow,2,"grow, growing"
guarantee,3,"guarantee, guaranteed, guaranteeing"
guide,3,"guide, guided, guiding"
handle,3,"handle, handled, handling"
harmonize,1,harmonize
hastily,1,hastily
hear,3,"hear, heard, hearing"
helm,1,helm
help,3,"help, helped, helping"
high,1,highest
highly,1,highly
holistic,1,holistic
honest,1,honest
honor,3,"honor, honored, honoring"
honorbale,1,honorbale
ideal,1,ideal
identify,1,identify
immediate,1,immediate
immediately,1,immediately
immensely,1,immensely
impartial,1,impartial
impeccable,1,impeccable
implement,3,"implement, implemented, implementing"
improve,3,"improve, improved, improving"
include,3,"include, included, including"
inclusive,1,inclusive
incomparable,1,incomparable
incontrovertibly,1,incontrovertibly
increase,3,"increase, increased, increasing"
incredibly,1,incredibly
indisuptably,1,indisuptably
indubitably,1,indubitably
influence,1,influence
inform,3,"inform, informed, informing"
initiate,3,"initiate, initiated, initiating"
initiative,1,initiative
innovative,1,innovative
input,1,input
insist,3,"insist, insisted, insisting"
inspect,3,"inspect, inspected, inspecting"
inspire,3,"inspire, inspired, inspiring"
instantly,1,instantly
integrity,1,integrity
intensely,1,intensely
intervene,3,"intervene, intervened, intervening"
invariably,1,invariably
investigate,3,"investigate, investigated, investigating"
invite,3,"invite, invited, inviting"
involve,3,"involve, involved, involving"
irrefutably,1,irrefutably
join,3,"join, joined, joining"
judicious,1,judicious
just,1,just
justify,3,"justified, justify, justifying"
key,1,key
launch,1,launch
lead,3,"lead, leading, led"
learn,3,"learn, learned, learning"
listen,3,"listen, listened, listening"
loyal,1,loyal
maintain,3,"maintain, maintained, maintaining"
manage,3,"manage, managed, managing"
manifestly,1,manifestly
markedly,1,markedly
master,3,"master, mastered, mastering"
maximize,3,"maximize, maximized, maximizing"
maximum,1,maximum
mediate,3,"mediate, mediated, mediating"
mentor,3,"mentor, mentored, mentoring"
meticulous,1,meticulous
model,1,model
monitor,3,"monitor, monitored, monitoring"
moral,1,moral
motivate,3,"motivate, motivated, motivating"
navigate,1,navigate
negotiate,3,"negotiate, negotiated, negotiating"
never,1,never
noble,1,noble
none,1,none
notably,1,notably
nurture,3,"nurture, nurtured, nurturing"
objective,1,objective
obviously,1,obviously
offer,1,offer
open,1,open
openly,1,openly
optimal,1,optimal
optimize,3,"optimize, optimized, optimizing"
organize,3,"organize, organized, organizing"
outline,3,"outline, outlined, outlining"
outperfom,1,outperfom
outperform,3,"outperform, outperformed, outperforming"
outstanding,1,outstanding
overall,1,overall
oversee,1,oversee
overssing,1,overssing
own,3,"own, owned, owning"
ownership,1,ownership
pacify,3,"pacified, pacify, pacifying"
paramount,1,paramount
participate,3,"participate, participated, participating"
particularly,1,particularly
partner,3,"partner, partnered, partnering"
patently,1,patently
patience,1,patience
patient,1,patient
peak,1,peak
peerless,1,peerless
perfect,1,perfect
perfectly,1,perfectly
perpetually,1,perpetually
perseverant,1,perseverant
persistent,1,persistent
perspective,1,perspective
pinnacle,1,pinnacle
pivotal,1,pivotal
plainly,1,plainly
plan,3,"plan, planned, planning"
pledge,3,"pledge, pledged, pledging"
positive,1,positive
positively,1,positively
praise,3,"praise, praised, praising"
preeminent,1,preeminent
premier,1,premier
prepare,3,"prepare, prepared, preparing"
preserve,3,"preserve, preserved, preserving"
prevent,1,prevent
pride,1,pride
principled,1,principled
prioritize,3,"prioritize, prioritized, prioritizing"
proactive,1,proactive
proactively,1,proactively
process,1,process
produce,3,"produce, produced, producing"
productive,1,productive
productivity,1,productivity
professional,1,professional
proficient,1,proficient
profoundly,1,profoundly
progress,1,progress
promise,3,"promise, promised, promising"
promptly,1,promptly
proper,1,proper
protect,3,"protect, protected, protecting"
proud,1,proud
prove,1,proven
provide,1,provide
prudent,1,prudent
punctual,1,punctual
purely,1,purely
pursue,3,"pursue, pursued, pursuing"
push,3,"push, pushed, pushing"
qualify,1,qualified
quality,1,quality
quickly,1,quickly
quintessential,1,quintessential
radically,1,radically
rapidly,1,rapidly
rational,1,rational
reasonable,1,reasonable
reassure,3,"reassure, reassured, reassuring"
recognize,3,"recognize, recognized, recognizing"
reconcile,3,"reconcile, reconciled, reconciling"
rectify,3,"rectified, rectify, rectifying"
refine,1,refine
reflect,1,reflect
regret,3,"regret, regretted, regretting"
relate,3,"relate, related, relating"
relentless,1,relentless
reliable,1,reliable
remarkable,1,remarkable
remarkably,1,remarkably
remedy,3,"remedied, remedy, remedying"
repair,3,"repair, repaired, repairing"
require,3,"require, required, requiring"
resilient,1,resilient
resolute,1,resolute
resolve,3,"resolve, resolved, resolving"
respect,3,"respect, respected, respecting"
respectful,1,respectful
respectfully,1,respectfully
respond,1,respond
responsibility,1,responsibility
responsible,1,responsible
ressure,1,ressure
restore,3,"restore, restored, restoring"
result,1,results
review,3,"review, reviewed, reviewing"
revise,1,revise
right,1,right
righteous,1,righteous
rigorous,1,rigorous
safe,1,safe
safeguard,3,"safeguard, safeguarded, safeguarding"
schedule,3,"schedule, scheduled, scheduling"
scrupulous,1,scrupulous
season,1,seasoned
seek,1,seek
sensible,1,sensible
serve,3,"serve, served, serving"
set,2,"set, setting"
share,3,"share, shared, sharing"
significantly,1,significantly
signularly,1,signularly
sincere,1,sincere
skill,1,skilled
smooth,3,"smooth, smoothed, smoothing"
solely,1,solely
solicit,3,"solicit, solicited, soliciting"
solidify,1,solidify
solve,3,"solve, solved, solving"
sorry,1,sorry
spearhead,3,"spearhead, spearheaded, spearheading"
steadfast,1,steadfast
steer,3,"steer, steered, steering"
stirkingly,1,stirkingly
straightaway,1,straightaway
straightforward,1,straightforward
strategize,3,"strategize, strategized, strategizing"
streamline,3,"streamline, streamlined, streamlining"
strive,3,"strive, striving, strove"
strong,2,"strong, strongest"
structure,3,"structure, structured, structuring"
substantially,1,substantially
succeed,3,"succeed, succeeded, succeeding"
successful,1,successful
superior,1,superior
supersede,1,supersede
supervise,3,"supervise, supervised, supervising"
support,3,"support, supported, supporting"
supportive,1,supportive
supreme,1,supreme
surely,1,surely
surpass,3,"surpass, surpassed, surpassing"
surpoass,1,surpoass
sustainable,1,sustainable
switfly,1,switfly
systematic,1,systematic
tackle,3,"tackle, tackled, tackling"
talk,3,"talk, talked, talking"
target,3,"target, targeted, targeting"
team,3,"team, teamed, teaming"
teamwork,1,teamwork
tenacious,1,tenacious
tend,3,"tend, tended, tending"
thank,3,"thank, thanked, thanking"
thorough,1,thorough
thoroughly,1,thoroughly
thrive,3,"thrive, thrived, thriving"
tireless,1,tireless
tirelessly,1,tirelessly
together,1,together
top,1,top
total,1,total
totally,1,totally
touchbase,1,touchbase
track,3,"track, tracked, tracking"
transparent,1,transparent
tremendously,1,tremendously
troubleshoot,1,troubleshoot
troublesot,1,troublesot
trust,1,trust
trustworthy,1,trustworthy
truthful,1,truthful
ultimate,1,ultimate
unbiased,1,unbiased
unconditionally,1,unconditionally
undeniably,1,undeniably
understand,3,"understand, understanding, understood"
undoubtedly,1,undoubtedly
unequivocally,1,unequivocally
unfailingly,1,unfailingly
uniquely,1,uniquely
unite,3,"unite, united, uniting"
universally,1,universally
unmatched,1,unmatched
unparalleled,1,unparalleled
unprecedented,1,unprecedented
unquestionably,1,unquestionably
unrivaled,1,unrivaled
unsurpassed,1,unsurpassed
unwavering,1,unwavering
update,3,"update, updated, updating"
uphold,3,"upheld, uphold, upholding"
uplift,3,"uplift, uplifted, uplifting"
upright,1,upright
urgently,1,urgently
utilize,1,utilize
utmost,1,utmost
utterly,1,utterly
validate,3,"validate, validated, validating"
value,3,"value, valued, valuing"
vastly,1,vastly
verify,3,"verified, verify, verifying"
very,1,very
veteran,1,veteran
virtuous,1,virtuous
vitally,1,vitally
volunteer,3,"volunteer, volunteered, volunteering"
vow,3,"vow, vowed, vowing"
warm,1,warm
welcome,3,"welcome, welcomed, welcoming"
whole,1,whole
wholly,1,wholly
willingness,1,willingness
win,1,win
yield,3,"yield, yielded, yielding"
zenith,1,zenith
